Model,Accuracy,Precision,Recall,F1
decision_tree,0.9497964721845319,0.9500372691012552,0.9497964721845319,0.9497014553618928
svc,0.9484396200814111,0.9485551028678764,0.9484396200814111,0.9484691796767779
logistic_regression,0.9280868385345997,0.928150304558562,0.9280868385345997,0.9279779747043518
