Model,Accuracy,Precision,Recall,F1
svc,0.9457259158751696,0.9457719221626955,0.9457259158751696,0.9457418869276976
decision_tree,0.9389416553595658,0.9389730933269085,0.9389416553595658,0.9388714084710221
logistic_regression,0.9158751696065129,0.9158342294906723,0.9158751696065129,0.9157931808808493
