Model,Accuracy_GA,Precision_GA,Recall_GA,F1_GA,Accuracy_Baseline,Precision_Baseline,Recall_Baseline,F1_Baseline,Accuracy_Improvement,F1_Improvement
svc,0.9457259158751696,0.9457719221626955,0.9457259158751696,0.9457418869276976,0.9484396200814112,0.9485551028678764,0.9484396200814112,0.948469179676778,-0.0027137042062416183,-0.0027272927490804566
decision_tree,0.9389416553595658,0.9389730933269085,0.9389416553595658,0.9388714084710221,0.949796472184532,0.9500372691012552,0.949796472184532,0.9497014553618928,-0.010854816824966251,-0.010830046890870637
logistic_regression,0.9158751696065129,0.9158342294906723,0.9158751696065129,0.9157931808808493,0.9280868385345996,0.928150304558562,0.9280868385345996,0.9279779747043518,-0.012211668928086672,-0.012184793823502571
