Model,Accuracy,Precision,Recall,F1
decision_tree,0.9490881744688852,0.949056076913975,0.9490881744688852,0.9490711332123514
svc,0.9417559691671367,0.9417853218984448,0.9417559691671367,0.9417701216555816
logistic_regression,0.9192329385222786,0.9206220970175785,0.9192329385222786,0.9196595746617644
