Model,Accuracy_GA,Precision_GA,Recall_GA,F1_GA,Accuracy_Baseline,Precision_Baseline,Recall_Baseline,F1_Baseline,Accuracy_Improvement,F1_Improvement
svc,0.9753333333333334,0.9754356048145467,0.9753333333333334,0.9753320067434736,0.9713333333333334,0.9713542824125516,0.9713333333333334,0.9713330148112757,0.0040000000000000036,0.003998991932197993
decision_tree,0.9656666666666667,0.9658175915663342,0.9656666666666667,0.9656638854413874,0.9653333333333334,0.9655725341553262,0.9653333333333334,0.9653288800205894,0.0003333333333332966,0.0003350054207980069
logistic_regression,0.9433333333333334,0.943535191126984,0.9433333333333334,0.9433268851922708,0.9526666666666668,0.9527640612469528,0.9526666666666668,0.9526641210482876,-0.009333333333333416,-0.009337235856016757
