Model,Accuracy,Precision,Recall,F1
svc,0.9753333333333334,0.9754356048145467,0.9753333333333334,0.9753320067434736
decision_tree,0.9656666666666667,0.9658175915663342,0.9656666666666667,0.9656638854413874
logistic_regression,0.9433333333333334,0.943535191126984,0.9433333333333334,0.9433268851922708
