Model,Accuracy_GA,Precision_GA,Recall_GA,F1_GA,Accuracy_Baseline,Precision_Baseline,Recall_Baseline,F1_Baseline,Accuracy_Improvement,F1_Improvement
decision_tree,0.9281573263612595,0.9283841841546024,0.9281573263612595,0.9281001249476293,0.93003296578379,0.930160727388283,0.93003296578379,0.9299913721185916,-0.0018756394225305506,-0.0018912471709623402
logistic_regression,0.8814368534727748,0.8821525984839619,0.8814368534727748,0.8812239711006673,0.898601796066841,0.8988662896096271,0.898601796066841,0.8985020283893477,-0.0171649425940662,-0.01727805728868037
svc,0.9073547800386496,0.907524788340968,0.9073547800386496,0.9072840514039142,0.9346368080027282,0.934634479987581,0.9346368080027282,0.9346354504028777,-0.027282027964078637,-0.02735139899896344
